"NCE","OGA","OGS","OGN","CNL","AQS","LCP","LCC","LCL","LCI","LATITUDINE","LONGITUDINE","FRF","FRM","FRD","FRBT","FRBI","FRBC","FROP","FROS","FROG","FROO","FRI","FRZS","FRZI","CNTT","CNTE","CNTW","CNTS"
"R20FRB0108","museo, galleria e/o raccolta","Etnografia e antropologia","Casa Museo","https://www.sardegnacultura.it/j/v/258?s=35295&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Casa Museo","NU","Elini",,"Via Lamarmora, 33","39.898780782","9.531000056","aperto","a pagamento","Il museo è realizzato all’interno di un’antica casa, recentemente restaurata, che si trova nel centro storico del paese. Riproduce i vari ambienti domestici del passato: la cucina col camino, corredata con gli utensili tradizionali; le camere da letto con letti in ferro battuto, mobili e corredo; la cantina comprende la panificazione e la dispensa, il cortile esterno con portico. Sono presenti, inoltre, strumenti del lavoro contadino, i costumi e i preziosi ricami della tradizione elinese.",,,,,,,,"ll museo apre su prenotazione, contattando telefonicamente l'ufficio cultura del comune di Elini. Non sono temporaneamente disponibili informazioni sui biglietti, si consiglia di contattare anticipatamente la struttura.","visite guidate","Nella giornata di visita, è possibile assistere alla preparazione e partecipare alla degustazione dei culurgionis, tipico prodotto della cucina tradizionale ogliastrina.","+39 0782 33069// +39 0782 33062","comunedielini@tiscali.it// culturale@pec.comunedielini.gov.it","http://www.elini.nu.it","https://www.facebook.com/elinipaesemuseo"
"R20FRB0109","area o parco archeologico","Archeologia","Area archeologica di Antas (Tempio Punico Romano)","https://www.sardegnacultura.it/j/v/258?s=20945&v=2&c=2488&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Area archeologica di Antas (Tempio Punico Romano)","SU","Fluminimaggiore",,"Località Antas","39.393767322","8.500245029","aperto","a pagamento","Il complesso, lambito a sud dal corso del Rio Antas, si sviluppa su un modesto rilievo che costituisce le propaggini meridionali del Monte Conca S'Omu, caratterizzato da calcari paleozoici. Il complesso si compone di un tempio, realizzato in diverse fasi dall'età punica a quella romana imperiale, di un temenos, e di una struttura muraria con funzione incerta: forse un altare a cielo aperto.","intero// ridotto// cumulativo intero","euro 4,00// euro 3,00// euro 5,00","Adulti.// Minori dai 6 ai 12 anni, scolaresche e gruppi oltre 25 persone.// Visita al Tempio di Antas e Antico mulino ad acqua Licheri.","Novembre-Marzo// Aprile-Giugno, ottobre// Luglio-Settembre","invernale// primaverile, autunnale// estivo","MA-DO// LU-DO// LU-DO","09:30-16:30// 09:30-17:30// 09:30-19:30","Orari particolari: 25 dicembre chiuso; 1 gennaio apertura dalle ore 10:30 alle 16:30. Su prenotazione disponibilità anche in orari diversi da quelli previsti. Nel periodo invernale il sito rimarrà chiuso in caso di pioggia. Prenotazione: nessuna. Orario biglietteria: Chiude mezz’ora prima dell’orario di chiusura.","audio guide// bookshop// visite guidate","Noleggio audioguide (inglese, tedesco, francese e italiano) con euro 2,00, aggiuntivi al costo del biglietto. L'area di sosta è dotata di un chiosco bar, biglietteria e bookshoop.","+39 3478174989// +39 0781 580990 FAX","info@startuno.it","http://startuno.it/antas","https://www.facebook.com/tempiodiantas"
"R20FRB0110","museo, galleria e/o raccolta","Etnografia e antropologia","Museo Etnografico Antico Mulino ad acqua Licheri","https://www.sardegnacultura.it/j/v/258?s=18976&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Etnografico Antico Mulino ad acqua Licheri","SU","Fluminimaggiore",,"Piazza Antonio Gramsci, s.n.c.","39.435645269","8.497749501","aperto","a pagamento","L’edificio, conosciuto come Mulino Licheri e trasformato dal Comune in Museo Etnografico sorge sulla riva del Rio Mannu. Espone collezioni legate alle tradizioni popolari sarde, in particolare del paese di Fluminimaggiore. Oltre al mulino e alla parte esterna, varie stanze conservano oggetti legati alla pastorizia, agricoltura, antichi mestieri come il fabbro, il ciabattino ecc, ma la parte più significativa è incentrata sulle varie fasi della produzione e lavorazione del grano.","intero// ridotto// cumulativo intero","euro 3,00// euro 2,00// euro 5,00","Adulti.// Minori dai 6 ai 12 anni, scolaresche e gruppi oltre 25 persone.// Visita al Museo Etnografico Antico Mulino ad acqua Licheri e Tempio di Antas.","Gennaio-Giugno, Settembre-Dicembre// Luglio-Agosto","// ","MA-DO// MA-DO","10:00-13:00// 15:00-18:00// 10:00-13:00// 15:00-20:00","Il 25 dicembre apertura solo la mattina, il 1 gennaio apertura dalle ore 10:30 alle 13:00 e dalle 15:00 alle 18:00. Su prenotazione sono disponibili orari diversi da quelli previsti.","laboratori didattico-educativi// percorso di visita per bambini// visite guidate","Le visite guidate sono comprese nel prezzo del biglietto. Il museo organizza visite al tempio punico-romano di Antas, al villaggio nuragico e alla cave romane, escursioni nel Fluminese.","+39 3478174989// +39 0781 580990 FAX","info@startuno.it","http://www.museomulino.it// http://startuno.it/mulino",
"R20FRB0112","monumento o complesso monumentale","Archeologia","Anfiteatro Romano","https://www.sardegnacultura.it/j/v/258?s=38321&v=2&c=2489&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Anfiteatro Romano","OR","Fordongianus",,"Via Pietro Pippia, s.n.c.","39.993098242","8.804753478","chiuso",,"L’anfiteatro romano di Forum Traiani, odierna Fordongianus, messo in luce da recenti campagne di scavo, è situato nella piccola valle di Apprezzau, fra le colline di Su Montigu ad Est e S’Iscaleddu a Ovest, alla periferia sud dell’attuale paese.",,,,,,,,"L'anfiteatro è visibile dal piano strada.",,,"+39 0783 60123","info@comunefordongianus.it","http://www.forumtraiani.it",
"R20FRB0113","area o parco archeologico","Archeologia","Area archeologica delle Terme Romane","https://www.sardegnacultura.it/j/v/258?s=20925&v=2&c=2488&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Area archeologica delle Terme Romane","OR","Fordongianus",,"Via Vittorio Veneto, s.n.c.","39.996879548","8.808503021","aperto","a pagamento","Il complesso termale di Fordongianus, costituito da due distinti stabilimenti, sorge sulla riva sinistra del fiume Tirso, poco distante da dove, un tempo, sorgeva l’antica città di fondazione tardo repubblicana di Forum Traiani, creata da Traiano come centro di mercato tra le comunità dell'interno e le popolazioni romanizzate dell'entroterra del golfo di Oristano.","intero// ridotto// ridotto","euro 4,00// euro 3,00// euro 2,00","Adulti, visita all'Area archeologica delle Terme Romane e Casa Aragonese.// Gruppi di almeno 20 persone, visita all'Area archeologica delle Terme Romane e Casa Aragonese.// Minori dai 6 ai 14 anni,  visita all'Area archeologica delle Terme Romane e Casa Aragonese.",,,"LU-DO","09:30-13:00// 15:00-17:00",,"laboratori didattico-educativi// percorso di visita per bambini// visite guidate","I laboratori didattici sono rivolti agli studenti di nido, scuola d’infanzia, primaria e secondaria di primo grado. Il percorso di visita didattico si può realizzare sia il mattino che il pomeriggio, è possibile includere anche il pranzo.Tutte le proposte, previa prenotazione, sono attive tutto l’anno.","+39 0783 60157","info@forumtraiani.it","http://www.forumtraiani.it","https://www.facebook.com/ForumTraiani"
"R20FRB0114","monumento o complesso monumentale","Architettura civile di interesse storico o artistico","Casa Aragonese","https://www.sardegnacultura.it/j/v/258?s=18447&v=2&c=2488&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Casa Aragonese","OR","Fordongianus",,"Via Traiano, 10","39.995385270","8.809303630","aperto","a pagamento","La casa aragonese è situata nel centro storico del paese e prende il nome dai decori in stile gotico aragonese o catalano che ne abbelliscono le finestre, il portale di ingresso e le porte interne. Costruita integralmente in trachite locale, prevalentemente nella sua variante rossa e rosata, presenta un imponente porticato affacciato sulla piazza antistante, sostenute da colonne con decori e forme tipiche di questa zona della Sardegna.","intero// ridotto// ridotto","euro 4,00// euro 3,00// euro 2,00","Adulti, visita alla Casa Aragonese e Terme Romane.// Gruppi di almeno 20 persone, visita alla Casa Aragonese e Terme Romane.// Minori dai 6 ai 14 anni, visita alla Casa Aragonese e Terme Romane.",,,"LU-DO","09:30-13:00// 15:00-18:30",,"laboratori didattico-educativi// percorso di visita per bambini// visite guidate","I laboratori didattici sono rivolti agli studenti di nido, scuola d’infanzia, primaria e secondaria di primo grado. Il percorso di visita didattico si può realizzare sia il mattino che il pomeriggio, è possibile includere anche il pranzo.Tutte le proposte, previa prenotazione, sono attive tutto l’anno.","+39 0783 60157","info@forumtraiani.it","http://www.forumtraiani.it","https://www.facebook.com/ForumTraiani"
"R20FRB0115","museo, galleria e/o raccolta","Archeologia industriale","Miniera di Funtana Raminosa","https://www.sardegnacultura.it/j/v/258?s=37957&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Miniera di Funtana Raminosa","NU","Gadoni",,"SP 8","39.877414961","9.172263010","aperto","a offerta libera","La miniera di Funtana Raminosa, oggi patrimonio archeologico-industriale, sorge al centro tra la Barbagia di Belvì e quella di Seulo. Nota come uno dei più importanti giacimenti di rame italiani deve la sua importanza, dal punto di vista geominerario, al ruolo che ha svolto, particolarmente significativo, nella storia della metallurgia nell'area mediterranea a partire dall'età eneolitica.",,,,,,,,"L'ingresso è a offerta libera. E' richiesta la prenotazione.","visite guidate",,"+39  3450789622// +39 0784 627001// +39 0784 625933 FAX","mail@visitgadoni.info// funtanaraminosa.prenotazioni@gmail.com// info@comune.gadoni.nu.it// protocollo@pec.comune.gadoni.nu.it","http://www.visitgadoni.info/archeologia.htm// http://www.comune.gadoni.nu.it","https://it-it.facebook.com/VisitGadoni// "
"R20FRB0116","museo, galleria e/o raccolta","Etnografia e antropologia","Museo Etnografico sa Domo E' Marras","https://www.sardegnacultura.it/j/v/258?s=22513&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Etnografico sa Domo E' Marras","NU","Galtellì",,"Via Garibaldi, 14","40.386027864","9.614598633","aperto","a pagamento","Il complesso abitativo occupa un'area di circa 800 mq articolato su due piani fuori terra. Al suo interno sono ricostruiti i vari ambienti domestici e del lavoro. Le singole stanze ospitano gli strumenti e i macchinari più rappresentativi della comunità galtellinese, legati alle attività artigianali proprie del mondo agro-pastorale, recuperati localmente grazie alla collaborazione della popolazione.","intero// ridotto// gratuito","euro 5,00// euro 3,00// ","Adulti.// Minori sino ai 18 anni, classi scolastiche e gruppi di almeno 20 persone, disabili.// Minori dai 0 ai 6 anni.","// ","autunnale, invernale// primaverile, estivo","MA-DO// MA-DO","16:00-19:00// 10:00-13:00// 17:00-20:00","Contattando la struttura è possibile visitare il museo anche nel giorno di chiusura di lunedì.","laboratori didattico-educativi// visite guidate","I laboratori didattici devono essere prenotati e hanno un costo aggiuntivo di euro 3,00 per scolaresche e gruppi superiori alle 20 persone. La visita guidata è compresa nel prezzo del biglietto.","+39 3472211296// +39 3451312441// +39 3471942842","domoemarras2019@gmail.com// prolocogaltelli2019@gmail.com// associazioneprolocogaltelli@legalmail.it","https://museomarras.com/","https://www.facebook.com/domoemarras2019/"
"R20FRB0117","museo, galleria e/o raccolta","Etnografia e antropologia","Museo Casa Porcu Satta","https://www.sardegnacultura.it/j/v/258?s=37961&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Casa Porcu Satta","NU","Gavoi",,"Via Roma, 187","40.158704827","9.194235241","aperto","a pagamento","Il museo ha sede in un’antica casa signorile. Ospita le collezioni di abbigliamento tradizionale gavoese, gioielli e amuleti della tradizione sarda, giocattoli tradizionali, strumenti musicali e ricostruzioni di ambienti lavorativi tradizionali.","intero// ridotto// ridotto","euro 2,00// euro 1,50// euro 1,00","Adulti.// Minori sino ai 14 anni, adulti oltre 65 anni, gruppi di almeno 14 persone.// Scolaresche.",,,,,"La struttura apre esclusivamente su prenotazione, da effettuarsi telefonando al numero +39 0784 53633 o inviando un e-mail a info@comune.gavoi.nu.it, con almeno due giorni di anticipo. L'ingresso è gratuito per i Soci Touring Club.","visite guidate",,"+39 0784 53633","info@comune.gavoi.nu.it// info@museocasaporcusatta.it","http://www.comune.gavoi.nu.it/vivere/cultura/42",
"R20FRB0118","museo, galleria e/o raccolta","Etnografia e antropologia","Civico Museo del Cavallino della Giara","https://www.sardegnacultura.it/j/v/258?s=23076&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Civico Museo del Cavallino della Giara","SU","Genoni",,"Via Chiesa, 7","39.795152599","9.007223692","aperto","a pagamento","Il museo, allestito all’interno di un'antica e tipica casa genonese fedelmente ristrutturata, si articola in due sezioni, una relativa al cavallino della Giara e al cavallo in genere e un’altra prettamente etnografica, dedicata alla cultura contadina del territorio.","intero// ridotto// cumulativo intero// cumulativo intero// cumulativo intero// gratuito","euro 3,50// euro 2,50// euro 10,50// euro 8,50// euro 6,00// ","Adulti, comprende l'ingresso e visita guidata al museo.// Adulti dai 18 ai 25 anni, visita guidata al museo.// Adulti, visita guidata a tutte le strutture o siti di Genoni per la giornata intera.// Adulti, visita guidata a tre siti o musei di Genoni.// Adulti, visita guidata a due musei di Genoni.// Minori sino ai 18 anni, adulti oltre 65 anni, scolaresche e loro accompagnatori, visita guidata al museo.","// // // ","invernale// estivo// estivo// invernale","VE-DO// ME-GI// VE-DO// ME-GI","10:00-13:00// 15:00-19:00// 16:00-20:00// 10:00-13:00// 16:00-20:00// 15:00-19:00","Prenotazione: richiesta per i giorni di lunedì e martedì.","laboratori didattico-educativi// visite guidate","I laboratori didattici svolgono attività sul riciclo e ambiente tenuti al Museo o al Parco della Giara per una durata di 2,5 ore ca. al costo di euro 4,00. Visita guidata al Parco della Giara con l'acquisto del biglietto al costo di euro 10,50.","+39 3391676863","info@museocavallinodellagiara.it","http://www.museocavallinodellagiara.it","https://www.facebook.com/parcgenoni"
"R20FRB0119","museo, galleria e/o raccolta","Storia naturale e scienze naturali","P.Ar.C. - Paleo Archeo Centro","https://www.sardegnacultura.it/j/v/258?s=35209&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=P.Ar.C. - Paleo Archeo Centro","SU","Genoni",,"Località Santu Antine, s.n.c.","39.798129219","9.002346637","aperto","a pagamento","Il Paleo Archeo Centro è un museo di nuova concezione, dinamico e strettamente legato al territorio che lo circonda. L’educazione, la collaborazione con le scuole e l’Università, l’attività di laboratorio sono tutti obiettivi fondamentali dell’attività museale del P.AR.C. Il centro è suddiviso in tre sezioni: Paleontologica, con i fossili del territorio; Archeologica, con la riproduzione del Pozzo Nuragico; Didattica, laboratorio didattico per scuole e famiglie.","intero// ridotto// cumulativo intero// cumulativo intero// cumulativo intero","euro 3,50// euro 2,50// euro 10,50// euro 8,50// euro 6,00","Adulti.// Adulti dai 18 ai 25 anni, studenti universitari.// Visita oltre tre musei o siti.// Visita a tre musei o siti.// Visita a due musei o siti.","// // // ","invernale// invernale// estivo// estivo","ME-GI// VE-DO// ME-GI// VE-DO","15:30-19:00// 10:00-13:00// 15:30-19:00// 16:00-20:00// 10:00-13:00// 16:00-20:00","Prenotazione richiesta per i giorni di lunedì e martedì, e per i giorni 24 e 25 dicembre. Il 31 dicembre il museo è aperto tutto il giorno, mentre il 1 gennaio apre nel pomeriggio, e solo su prenotazione la mattina.","laboratori didattico-educativi// visite guidate","I laboratori didattici svolgono attività su riciclo e ambiente, tenuti al museo o al parco della Giara per una durata di 2,5 ore ca. al costo di euro 4,00. Il biglietto cumulativo di euro 10,50 comprende itinerari di una giornata intera. Include l'accompagnamento di una guida, attività culturali e gli ingressi ai musei; si può inserire il pranzo in agriturismo, ristorante oppure al sacco. Nella visita sono compresi: P.Ar.C., Ex Convento dell'Ordine dei Frati Minori, Civico museo del cavallino della Giara, Geo Paleo Sito, Giara di Gesturi.","+39 3391676863","parcgenoni@gmail.com// coopgiunone@yahoo.it","http://www.parcgenoni.it","https://www.facebook.com/parcgenoni// https://twitter.com/PARC_Genoni"
"R20FRB0120","museo, galleria e/o raccolta","Storia naturale e scienze naturali","Museo della Giara","https://www.sardegnacultura.it/j/v/258?s=37938&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo della Giara","SU","Gesturi",,"Via Camillo Benso Conte di Cavour, 4","39.732849335","9.019587251","aperto","a pagamento","Museo storico-naturalistico, basato sull'identità territoriale della Giara di Gesturi. Il contenuto spazia da archeologia, storia, geologia, fauna e flora; il tutto connesso alla specificità territoriale della Giara.","intero// cumulativo intero// cumulativo intero","euro 2,00// euro 5,00// euro 6,00","Adulti, con visita guidata.// Visita guidata al museo e al Parco della Giara.// Visita guidata al museo, al Parco della Giara e alla Casa Museo Fra' Nicola.","Ottobre// Novembre-Marzo// Aprile-Settembre","autunnale// invernale// estivo","MA-DO// MA-DO// MA-DO","09:30-13:00// 15:30-19:00// 09:30-13:00// 15:30-18:00// 10:00-13:00// 16:00-20:00","Il museo può aprire su prenotazione nei giorni festivi dell'anno.","laboratori didattico-educativi// visite guidate","L'accesso ai laboratori didattici prevede l'integrazione di 1,00 euro al prezzo del biglietto.","+39 070 9369052","museodellagiara@gmail.com","https://giaradigesturi.weebly.com","https://www.facebook.com/museodellagiara"
"R20FRB0121","museo, galleria e/o raccolta","Storia","Casa museo Antonio Gramsci","https://www.sardegnacultura.it/j/v/258?s=24544&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Casa museo Antonio Gramsci","OR","Ghilarza",,"Corso Umberto I, 57","40.123039454","8.837594453","aperto","a pagamento","La casa museo è  dove Antonio Gramsci, a partire dal 1898, visse gli anni dell’infanzia e dell’adolescenza con i suoi familiari. E' fondamentalmente un centro di documentazione, ricerca e attività museali. Il tema principale del percorso riguarda la vita di Gramsci in Sardegna, gli studi, compresa l'Università, il pensiero, l'attività giornalistica e politica, la carcerazione e morte.","intero// ridotto// gratuito","euro 4,00// euro 2,00// ","Adulti oltre 25 anni.// Fascia d'età dai 6 ai 25 anni, adulti oltre 65 anni, gruppi oltre 10 persone e accompagnatore, guide turistiche iscritte al Registro regionale.// Minori sino ai 6 anni, disabili e accompagnatori, possessori della Tessera Amici della Casa Museo, residenti in possesso della Tessera gratuita del Museo; tutti i visitatori la prima domenica di ogni mese, soci ICOM.","Ottobre-Marzo// Aprile-Settembre","autunnale, primaverile// primaverile, estivo","LU, ME-DO// LU, ME-DO","10:00-13:00// 15:30-18:30// 10:00-13:00// 15:30-19:30","Chiusure speciali: 25, 26, 31 dicembre, 1 gennaio, Pasqua, 1 maggio, 15 agosto. Il prezzo del biglietto è comprensivo della visita guidata. La visita del museo dura circa 60 minuti. L'ingresso e la vendita dei biglietti sono consentiti fino a 30 minuti prima della chiusura. Nella casa museo è inoltre vietato: introdurre animali, ad eccezione di quelli utili per accompagnare le persone con disabilità, e qualunque oggetto che per le sue caratteristiche possa rappresentare un rischio per la sicurezza delle persone, dell’edificio, delle strutture, è vietato effettuare riprese fotografiche e audiovisive non autorizzate, fumare in tutti i locali del museo, usare il cellulare con le suonerie attivate all’interno degli spazi espositivi, consumare cibi e bevande negli spazi espositivi. Prenotazione: raccomandata per la visita guidata, obbligatoria per i gruppi superiori alle 10 persone.","guardaroba// visite guidate// laboratori didattico-educativi// bookshop// accessibilità fisica facilitata per visitatori con esigenze specifiche","Svolge attività educativa e di formazione anche per adulti e attività di tutoring per i giovani del Servizio civile volontario nazionale, per stagisti e tirocinanti e per studenti che effettuano progetti di alternanza scuola-lavoro. Per le attività didattiche è a disposizione una piccola sala che funge anche da sala riunioni e proiezioni. Nel bookshop sono presenti pubblicazioni che raccolgono scritti di Antonio Gramsci o che hanno come tema la sua vita e il suo pensiero, pubblicazioni inerenti alla storia e alle tradizioni del territorio e della Sardegna, nonché oggetti di merchandising afferenti alla Casa Museo e alle sue collezioni e documenti. Gli spazi destinati al pubblico del piano terreno sono stati adeguati all’accesso dei visitatori con disabilità mediante pedane di livellamento; l’accessibilità al percorso espositivo del piano superiore è assicurata mediante sussidi multimediali alla visita. Il guardaroba e il deposito dei bagagli sono gratuiti.","+39 0785 53075","info@casamuseogramsci.it// didattica@casamuseogramsci.it// amministrazione@casamuseogramsci.it// museo@pec.casamuseogramsci.it","https://www.casamuseogramsci.it","https://www.facebook.com/casamuseo.AntonioGramsci.paginaufficiale"
"R20FRB0122","area o parco archeologico","Archeologia","Parco Archeologico di Pranu Muttedu","https://www.sardegnacultura.it/j/v/258?s=20774&v=2&c=2488&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Parco Archeologico di Pranu Muttedu","SU","Goni",,"Località Pranu Muttedu","39.567728665","9.266941764","aperto","a pagamento","Il sito archeologico si sviluppa su un vasto pianoro di roccia arenacea e scistosa, ed è definibile come area funeraria e cultuale. I monumenti funerari si dividono in due gruppi principali: il complesso di tombe megalitiche a tumulo e la necropoli a domus de janas.","intero// ridotto// ridotto","euro 5,00// euro 4,00// euro 3,00","Adulti.// Gruppi oltre 20 persone.// Studenti.","// ","invernale// estivo","LU-DO// LU-DO","08:30-18:00// 08:30-20:00","L'ingresso viene ridotto del 40% a tutti i possessori di tessera FAI. Orario biglietteria: dall'apertura sino ad un’ora prima del tramonto. L'ingresso al parco è comprensivo di guida. Prenotazione: nessuna.","visite guidate","Il servizio di guida turistica è gratuito, ed è disponibile anche nelle lingue: tedesco, inglese, e francese. E' disponibile un'area attrezzata per i pic-nic, e un punto di ristoro nell'area di sosta.","+39 070 982059","pranumuttedu@tiscali.it// pranumuttedu@pec.it","http://www.pranumuttedu.com","https://it-it.facebook.com/pranumuttedu"
"R20FRB0123","museo, galleria e/o raccolta","Storia","Museo Turcus e Morus","https://www.sardegnacultura.it/j/v/258?s=18979&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Turcus e Morus","OR","Gonnostramatza",,"Piazza San Michele Arcangelo, 5","39.680725683","8.833471808","aperto","a pagamento","Il Museo è ospitato nei locali dell'ex Montegranatico. Attraverso un percorso multimediale racconta un millennio di incursioni barbaresche in Sardegna dei Turchi e dei Mori. La testimonianza storica di questi avvenimenti si trova in una lapide, custodita nella vicina chiesa campestre di San Paolo, da cui si apprende della distruzione, da parte saracena, del vicino paese di Uras nel 1515.  ll museo presenta, inoltre, una sezione archeologica medievale e moderna.","intero// ridotto","euro 3,00// euro 2,00","Adulti.// Adulti oltre 60 anni, gruppi oltre 10 persone.","Ottobre-Giugno// Ottobre-Giugno// Luglio-Settembre// Luglio-Settembre","invernale, primaverile, estivo// invernale, primaverile, estivo// estivo// estivo","MA-VE// SA-DO// MA-GI// VE-DO","09:00-13:00// 09:00-13:00// 16:00-19:00// 16:00-19:00// 10:00-13:00// 16:00-19:00","L'orario comprende anche i giorni festivi. Prenotazione: richiesta per comitive e visite guidate.","visite guidate// laboratori didattico-educativi// accessibilità fisica facilitata per visitatori con esigenze specifiche// bookshop","Visite guidate anche in lingua Inglese, Tedesco, Francese e Spagnolo. Presso il bookshop sono in vendita oggettistica di artigianato locale.","+39 0783 92587// +39 3476008108// +39 3477299298","info@turcusemorus.it","http://www.turcusemorus.it","https://www.facebook.com/Turcus-e-Morus// https://twitter.com/turcusemorus"
"R20FRB0124","museo, galleria e/o raccolta","Etnografia e antropologia","Casa Murgia","https://www.sardegnacultura.it/j/v/258?s=35365&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Casa Murgia","SU","Guspini",,"Via Petrarca, 2","39.539246177","8.624635363","aperto","a pagamento","L'allestimento museale della Casa Murgia percorre parallelamente due vicende: quella privata degli antichi proprietari della dimora, ricchi possidenti terrieri, e quella della comunità guspinese, raccontata attraverso le tradizionali pratiche agricole legate all'olivicoltura e alla viticoltura.","intero// ridotto// ridotto// cumulativo intero// cumulativo ridotto// cumulativo ridotto// gratuito","euro 3,00// euro 2,00// euro 1,00// euro 5,00// euro 3,50// euro 2,00// ","Adulti.// Minori dai 6 ai 10 anni, gruppi di almeno 20 persone, adulti oltre 65 anni.// Scuole.// Adulti, visita a Casa Murgia e Museo Monte Tempo.// Minori dai 6 ai 10 anni, gruppi di almeno 20 persone, adulti oltre 65 anni, visita a Casa Murgia e Museo Monte Tempo.// Scuole, visita a Casa Murgia e Museo Monte Tempo.// Minori sino ai 6 anni, disabili.",,,,,"Apertura solo su prenotazione. E’ possibile acquistare i biglietti direttamente dal sito Web. La Casa Murgia fa parte dei percorsi Domus Guspini.","visite guidate",,"+39 070 973173// +39 3384592082// +39 3891643692","info@minieradimontevecchio.it","http://www.minieradimontevecchio.it/casa_murgia_-_guspini.html",
