Categoria,Provincia,Comune,Denominazione,Indirizzo,Telefono,Orari,Biglietto intero,Biglietto ridotto,Note,scheda
Antiquaria,Agrigento,Sambuca di Sicilia,Antiquarium di Monte Adranone,Antiquarium Palazzo Panitteri e Zona archeologica Monte Adranone in Sambuca di Sicilia,0925946083,"Orario di apertura al pubblico da Martedì al Sabato dalle 8,00 alle 19,30. La prima Domenica di ogni mese apertura al pubblico dalle 8,00 alle 14,00. Tutti i Lunedì, le altre Domeniche e le Festività chiusura totale","6,00 €","3,00 €","Il Museo Archeologico Palazzo Panitteri è gestito dal Comune di Sambuca di Sicilia.
Il biglietto comprende l'ingresso a Monte Adranone - Palazzo Panitteri in Sambuca di Sicilia e Antiquarium di Monte Kronio in Sciacca.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=156&amp;IdSito=13
Aree archeologiche,Catania,Catania,Terme Romane dell'Indirizzo,Piazza Currò,095/7150508- polomuseale.ct@regione.sicilia.it; poloregionalect.urp@regione.sicilia.it,Le Terme Romane dell'Indirizzo sono visitabili su prenotazione,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=151&amp;IdSito=31
Antiquaria,Agrigento,Sciacca,Antiquarium di Monte Kronio - Stufe di S. Calogero,Monte Cronio - Sciacca,092528989,"Da lunedì a venerdì dalle 9 alle 19.30. Sabato dalle 9 alle 13.30. La prima Domenica di ogni mese apertura al pubblico dalle 9.00 alle 13.00.Tutte le altre Domeniche, comprese le Festività, chiusura totale","4,00 €","2,00 €","E' possibile acquistare il biglietto cumulativo (intero € 6,00, ridotto € 3,00) per la visita di Monte Adranone e Palazzo Panitteri in Sambuca di Sicilia e Antiquarium di Monte Kronio in Sciacca.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=155&amp;IdSito=95
Musei archeologici,Messina,Lipari,Museo archeologico regionale Bernabo' Brea a Lipari,"Via del Castello, 2 98055 LIPARI",0909880174/594 fax 0909880175,"Aperto tutti i giorni feriali dalle 9,00 alle 19,30 (ultimo ingresso ore 18,30). 
Domenica e Festivi aperto dalle 9,00 alle 13,30.","6,00 €","3,00 €",Ingresso gratuito nella prima domenica di ogni mese.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=26&amp;IdSito=45
Aree archeologiche,Enna,Aidone,Area archeologica di Morgantina,Contrada Morgantina,093587955,"Aperta tutti i giorni, compresi i festivi, dalle 11,00 alle 19,00,(orario continuato)ultimo ingresso alle ore 18.00","6,00 €","3,00 €","Vendita biglietti ridotti e cumulativi di due o tre siti tra: Area di Morgantina, Museo di Aidone e Villa del Casale.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=40&amp;IdSito=41
Musei archeologici,Agrigento,Ravanusa,"Museo archeologico ""Salvatore Lauricella""",Corso della Repubblica 27 - Ravanusa,Comune di Ravanusa (AG),"Tutti i giorni dalle 8,30 alle 13,30 con esclusione dei giorni festivi",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=328&amp;IdSito=173
Aree archeologiche,Agrigento,Agrigento,Valle dei Templi di Agrigento,"Via Panoramica dei Templi, snc (Casa Sanfilippo)",Vedi sito Internet del Parco Archeologico,Vedi sito Internet del Parco Archeologico,"10,00 €","5,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=34&amp;IdSito=8
Aree archeologiche,Siracusa,Palazzolo Acreide,Area archeologica di Akrai,Colle dell'Acromonte,0931876602,"Tutti i giorni dalle 8,30 alle 19.00 (chiusura biglietteria 18.00)","4,00 €","2,00 €","biglietto cumulativo con Casa Museo Uccello € 5.00 ridotto 2,50",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=56&amp;IdSito=85
Monumentale,Agrigento,Agrigento,Santa Maria dei Greci,Via Santa Maria dei Greci,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611,"Giorni feriali:aperto tutti i giorni dalle 8,30 alle 19
Aperto la prima domenica del mese dalle 8,30 alle 13,30 (il lunedì successivo dalle 8,30 alle 13,30)",Gratuito,Gratuito,Si comunica che il sito resterà chiuso giorno 14 luglio 2017 per intervento di disinfestazione e derattizzazione,
Musei archeologici,Enna,Enna,Museo regionale interdisciplinare di Enna,Piazza Mazzini 8,09355076304 - fax 09355076323,"Da lunedì a sabato, dalle 9,00 alle 18,00 (uscita entro le 19.00. Festivi soltanto la prima domenica del mese, con ingresso sempre gratuito.",Gratuito,Gratuito,Dall'8 gennaio: per le avverse condizioni meteorologiche il Museo aprirà soltanto in orario antimeridiano sino a nuova comunicazione,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=21&amp;IdSito=39
Aree archeologiche,Messina,Tusa,Area archeologica Halaesa Arconidea,Contrada Santa Maria delle Palate,"Si informa che per la temporanea disattivazione delle linee telefoniche di rete fissa, le comunicazioni potranno essere inviate alle caselle polomuseale.me.uo3@regione.sicilia.it e museo.messina.uo3@regione.sicilia.it","Orario di apertura: Da martedì a domenica dalle 9,00 alle 18,30. Orario biglietteria 9,00/18,00",Gratuito,Gratuito,Giorni 8 e 9 maggio 2017: il sito sarà chiuso al pubblico per disinfestazione.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=45&amp;IdSito=52
Aree archeologiche,Caltanissetta,Caltanissetta,Area archeologica Gibil Gabib,Contrada Gibil - Gabib,0934554964,Visitabile su prenotazione inviando richiesta a: sopricl@regione.sicilia.it,Gratuito,Gratuito,Per ragioni di sicurezza il sito non è temporaneamente visitabile.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=163&amp;IdSito=18
Aree archeologiche,Trapani,Castelvetrano,Area archeologica Selinunte,Via Selinunte,092446277,"Apertura alle 9,00. Dal 1 marzo chiusura alle ore 17.00 (uscita entro le 18.00). Dal 26 marzo chiusura alle ore 18.00 (uscita entro le 19.00).","6,00 €","3,00 €","Modalità di pagamento ingresso alle aree del Parco: CONTANTI: allo sportello della biglietteria, POS allo sportello della biglietteria; BONIFICO BANCARIO (istruzioni sulla pagina del Parco)",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=58&amp;IdSito=92
Aree archeologiche e Antiquarium,Caltanissetta,Caltanissetta,Area archeologica e Antiquarium di Sabucina,Contrada Sabucina,0934554964,Visitabile su prenotazione inviando richiesta a: sopricl@regione.sicilia.it,Gratuito,Gratuito,Per ragioni di sicurezza il sito non è temporaneamente visitabile.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=36&amp;IdSito=17
Aree archeologiche e Antiquarium,Palermo,Santa Flavia,Area archeologica e Antiquarium di Solunto,Via Collegio Romano - località Solunto,UFFICIO AMMINISTRATIVO 091905043 - AREA PARCO ARCHEOLOGICO 091909339,Dalle 9.30 alle 19.30. Domenica e festivi dalle 9.30 alle 13.30. Lunedì chiuso. Ultimo ingresso sempre un'ora prima.,"4,00 €","2,00 €",Dipende dal Polo regionale di Palermo per i Parchi e i Musei archeologici. La Prima domenica di ogni mese l'ingresso è gratuito.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=51&amp;IdSito=62
Musei archeologici,Enna,Centuripe,Museo archeologico regionale di Centuripe,Via SS. Crocifisso 1,093573079,Tutti i giorni dalle 9.00 alle 19.00.,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=317&amp;IdSito=154
Aree archeologiche,Messina,Taormina,Teatro Greco Romano di Taormina,Via del Teatro Greco 40 - Taormina - Sicily - Italy,Direzione 0942 628738 / Biglietteria Teatro 094223220 / Uffici Teatro 094224291,"Aperto tutti i giorni dalle 9.00 ad un'ora prima del tramonto
www.parconaxostaormina.it, vedi Orari e modalità di visita.","10,00 €","5,00 €","Audio Tour
LINK IZI.travel 
https://izi.travel/it/italia/guide-di-citta-in-sicilia-taormina
Scarica App su iziTRAVEL",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=43&amp;IdSito=50
Aree archeologiche,Palermo,Caccamo,Castello medievale di Caccamo,Via del Castello,"Ufficio Turismo   Tel. 0918103207/221   turismo@comune.caccamo.pa.it

Biglietteria Castello   Tel. 091/8149252

castello@comune.caccamo.pa.it","Da martedì a domenica, dalle 9.00 alle 13.00 e dalle 15.00 alle 19","4,00 €","2,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=325&amp;IdSito=130
Monumentale,Palermo,Palermo,Convento della Magione,Piazza Magione,0917071425  - 0917071411,"martedì e sabato ore 9,00-19,00 (ultimo ingresso ore 18,30): lunedì, mercoledì, giovedì, venerdì ore 9,00-13,30 (ultimo ingresso ore 13,00); domenica e festivi chiuso",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=97&amp;IdSito=111
Monumentale,Palermo,Palermo,Giardino di Villa Napoli e Piccola Cuba,Via F. Speciale,3346001743 - 0917071425,Visitabile su prenotazione,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=12&amp;IdSito=109
Aree archeologiche,Palermo,Palermo,Area archeologica monumentale di Castello a Mare,Via Crispi (ingresso Via Patti),0917071317/411,"Da martedì a sabato, dalle 9.30 alle 18,30. Domeniche e festivi dalle 9,30 alle 13,30. Lunedì chiuso","2,00 €","1,00 €",Dipende dal Polo regionale di Palermo per i Parchi e i Musei Archeologici,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=92&amp;IdSito=59
Musei archeologici,Agrigento,Licata,Museo archeologico regionale della Badia,Via Dante 12 - Licata,0922 772602,"Da Martedì al Sabato dalle ore 9,00 alle ore 13,00. Il Giovedì e il Sabato apertura anche il pomeriggio dalle ore 16,00 alle ore 18,00. Tutte le Domeniche, i Lunedì e le Festività chiusura totale",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=17&amp;IdSito=10
Aree archeologiche,Catania,Mineo,Area archeologica di Palike',Contrada Rocchicella,3315771468,"Chiusa lunedì, domenica e festivi. Aperta da martedì a sabato dalle 9 alle 13.00; mercoledì dalle 9 alle alle 17.30.",Gratuito,Gratuito,"Giorno 17 maggio 2017, in occasione della festa del Santo Patrono a Mineo, il sito archeologico di Palikè rimarrà chiuso",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=38&amp;IdSito=37
Musei e Gallerie,Palermo,Palermo,Castello della Favara a Maredolce,Via Giafar - svincolo Porto,0917071425 - 3357957161,"Aperto da lunedì a sabato e ogni prima domenica del mese, con i seguenti orari: lunedì, mercoledì, giovedì, venerdì e prima domenica dalle 9 alle 13, martedì e sabato dalle 9 alle 18.30",Gratuito,Gratuito,"Il sito sarà chiuso al pubblico dal 20 giugno al 4 luglio 2017 per lo svolgimento del Workshop internazionale: ''Maredolce - La Favara. Un nuovo paesaggio per Brancaccio, Palermo''.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=173&amp;IdSito=134
Aree archeologiche,Palermo,Palermo,Castello della Cuba e Necropoli Punica,Corso Calatafimi 100,0917071425 - 091590299,"da lunedì a sabato ore 9,00-19,00 (ultimo ingresso 18,30), domenica e festivi chiuso. Prima domenica del mese ingresso gratuito ore 9,00-13,30 (ultimo ingresso 13,00).  Pasqua, Lunedì dell'Angelo e 25 aprile: chiusura","2,00 €","1,00 €","Necropoli Punica: Pasqua, Pasquetta, 25 aprile e 1 maggio aperto dalle 9.30 dalle 13.30.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=47&amp;IdSito=57
Musei archeologici,Caltanissetta,Marianopoli,Museo archeologico regionale di Marianopoli,Viale Regione Siciliana,0934554964,"GIUGNO-LUGLIO da martedì a domenica dalle ore 9.00 alle ore 13.00 e dalle ore 15.30 alle ore 19.00
Chiuso tutti i lunedì",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=20&amp;IdSito=26
Musei e Gallerie,Palermo,Palermo,Museo regionale Palazzo Mirto,"Via Merlo 2, Palermo","tel e fax 0916164751; tel 0916167541
e-mail: polomuseale.pa.uo4@regione.sicilia.it
https://www.facebook.com/pages/CASA-MUSEO-Palazzo-MIRTO/265051623703706","Lunedì chiusura settimanale. Da martedì a sabato 9,00 - 18,00; domenica e festivi 9,00 - 13,00. La prima domenica di ogni mese ingresso gratuito. 26 e 27 giugno chiusura per disinfestazione","6,00 €","3,00 €","Biglietto cumulativo € 10,00 (vaidità 3 giorni) per Palazzo Mirto, Palazzo Abatellis, Oratorio dei Bianchi.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=10&amp;IdSito=55
Musei e Gallerie,Palermo,Palermo,Oratorio dei Bianchi,Piazzetta dei Bianchi,"Telefono 0916173080 fax 0916165305 Mail:polomuseale.pa@regione.sicilia.it
Urp 0916230068","Dal martedì alla domenica 10.00-13.30 / 16.30-20.00 - Lunedì chiuso.
Orario valido esclusivamente per il periodo della mostra","8,00 €","6,00 €","Mostra ''Serpotta e il suo Tempo'' 23 giugno-1 ottobre 2017
Info e prenotazioni 0918887767",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=142&amp;IdSito=113
Monumentale,Palermo,Palermo,Casina Cinese,Via Duca degli Abruzzi,091 7071317/411,Da martedì a sabato dalle 9.00 alle 19.00 (chiusura biglietteria 30 minuti prima). Aperta prima domenica del mese dalle 9.00 alle 13.30.,Gratuito,Gratuito,"Prima domenica del mese ingresso gratuito (ore 9,00-13,30)",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=141&amp;IdSito=133
Aree archeologiche e Antiquarium,Siracusa,Augusta,Area archeologica e Antiquarium di Megara Hyblaea,Contrada Megara Giannalena,09314508211,"Dal lunedì al sabato dalle 8,30 alle 19,00 chiusura biglietteria 18,00. 
Festivi:  2 luglio apertura 8.30- 19.00(chiusura biglietteria 18.00), 
altre domeniche 8.30- 13.30 (chiusura biglietteria 13,00)","4,00 €","2,00 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=95&amp;IdSito=79
Aree archeologiche,Trapani,Pantelleria,Area archeologica dell'Antica Cossyra,Contrada Mursia,0923808111,,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=184&amp;IdSito=108
