Denominazione,Categoria,Comune,Indirizzo,Latitudine,Longitudine,Prezzo,Contatti
"Museo dei Paleo Ambienti Sulcitani ""E.A. Martel""","museo, galleria, raccolta",Carbonia,"SS 126, Serbariu",39.159256476,8.51186103,6.0,+393402689043
Parco Archeologico Monte Sirai,area o parco archeologico,Carbonia,"SS 126, Monte Sirai",39.177485729,8.488831428,6.0,+3907811888256//+393457559751
Museo Casa del Duca,"museo, galleria, raccolta",Carloforte,"Via della Cisterna del Re, 20-24",39.146683895,8.305560575,5.0,+3907818589260//+3907818589207
Museo dell'intreccio Mediterraneo,"museo, galleria, raccolta",Castelsardo,"Via Guglielmo Marconi, s.n.c.",40.915678871,8.712581305,3.0,+390796014769//+393471118547
Museum Ampuriense - Cattedrale S. Antonio Abate,"museo, galleria, raccolta",Castelsardo,"Via Manganella, 42",40.91682331,8.71274258,4.0,+390796393099
Basilica della Santissima Trinità di Saccargia,monumento o complesso monumentale,Codrongianos,SS 597,40.671185823,8.689498643,3.0,+393470007882
Museo dell'Olio dr. Giorgio Zampa,"museo, galleria, raccolta",Cuglieri,"Corso Umberto I, 68",40.191090542,8.568668139,3.0,+393405291175
Museo della Tradizione Olearia Sa Mola De Su Notariu,"museo, galleria, raccolta",Dolianova,"Viale Europa, 18",39.375629864,9.176865478,25.0,+39070740651//+393355468560
Casa Museo,"museo, galleria, raccolta",Domus de Maria,"Piazza Vittorio Emauele, s.n.c.",38.944377834,8.865178631,1.6,+390707331424
Area archeologica Tiscali,area o parco archeologico,Dorgali,"Supramonte di Dorgali, località Monte Tiscali",40.241609035,9.492120287,5.0,+393484780104
Museo Archeologico Dorgali,"museo, galleria, raccolta",Dorgali,"Via Lamarmora, s.n.c",40.291944275,9.588417192,3.0,+393484780104
Museo della Foca Monaca,"museo, galleria, raccolta",Dorgali,"Viale Bue Marino, 1",40.282870309,9.633157416,5.0,+393460366858
Villaggio Nuragico di Serra Orrios,area o parco archeologico,Dorgali,SP 38,40.333727011,9.537758762,5.0,+393484780104
Villaggio Nuragico-Romano Nuraghe Mannu,area o parco archeologico,Dorgali,Strada per Nuraghe Mannu,40.259244885,9.620495961,4.0,+393484780104
Area archeologica di Antas (Tempio Punico Romano),area o parco archeologico,Fluminimaggiore,Località Antas,39.393767322,8.500245029,4.0,+393478174989
Museo Etnografico Antico Mulino ad acqua Licheri,"museo, galleria, raccolta",Fluminimaggiore,"Piazza Antonio Gramsci, s.n.c.",39.435645269,8.497749501,3.0,+393478174989
Area archeologica delle Terme Romane,area o parco archeologico,Fordongianus,"Via Vittorio Veneto, s.n.c.",39.996879548,8.808503021,4.0,+39078360157
Casa Aragonese,monumento o complesso monumentale,Fordongianus,"Via Traiano, 10",39.99538527,8.80930363,4.0,+39078360157
Museo Etnografico sa Domo E' Marras,"museo, galleria, raccolta",Galtellì,"Via Garibaldi, 14",40.386027864,9.614598633,5.0,+393472211296//+393451312441//+393471942842
Museo Casa Porcu Satta,"museo, galleria, raccolta",Gavoi,"Via Roma, 187",40.158704827,9.194235241,2.0,+39078453633
Civico Museo del Cavallino della Giara,"museo, galleria, raccolta",Genoni,"Via Chiesa, 7",39.795152599,9.007223692,3.5,+393391676863
P.Ar.C. - Paleo Archeo Centro,"museo, galleria, raccolta",Genoni,"Località Santu Antine, s.n.c.",39.798129219,9.002346637,3.5,+393391676863
Museo della Giara,"museo, galleria, raccolta",Gesturi,"Via Camillo Benso Conte di Cavour, 4",39.732849335,9.019587251,2.0,+390709369052
Casa museo Antonio Gramsci,"museo, galleria, raccolta",Ghilarza,"Corso Umberto I, 57",40.123039454,8.837594453,4.0,+39078553075
Parco Archeologico di Pranu Muttedu,area o parco archeologico,Goni,Località Pranu Muttedu,39.567728665,9.266941764,5.0,+39070982059
Museo Turcus e Morus,"museo, galleria, raccolta",Gonnostramatza,"Piazza San Michele Arcangelo, 5",39.680725683,8.833471808,3.0,+39078392587//+393476008108//+393477299298
Casa Murgia,"museo, galleria, raccolta",Guspini,"Via Petrarca, 2",39.539246177,8.624635363,3.0,+39070973173//+393384592082//+393891643692
"Complesso Minerario di Montevecchio - Miniera di Piccalinna, Palazzina della Direzione e Pozzo Sant'Antonio",monumento o complesso monumentale,Guspini,"Piazzale Rolandi, 2",39.556051312,8.580173821,5.0,+39070973173//+393384592082//+393891643692
Galleria Anglosarda,monumento o complesso monumentale,Guspini,"Miniera Montevecchio, SP 66",39.555574129,8.577790516,12.0,+393384592082//+393891643692//+390781491300
Museo Monte Tempo,"museo, galleria, raccolta",Guspini,"Via Ferracciu, 1",39.540392004,8.625106412,3.0,+39070973173//+393384592082//+393891643692
Grotta di Santa Barbara - Miniera di San Giovanni,monumento o complesso monumentale,Iglesias,"Frazione San Giovanni, Miniera, SS 126",39.289501453,8.489563599,15.0,+390781274507
Museo dell'Arte Mineraria,"museo, galleria, raccolta",Iglesias,"Via Roma, 47",39.311332476,8.531991194,5.0,+390781350037//+393394051486//+393389221392
Porto Flavia,monumento o complesso monumentale,Iglesias,"Strada Provinciale, 83",39.336114836,8.408094875,10.0,+390781274507
Antiquarium Comunale di Irgoli,"museo, galleria, raccolta",Irgoli,"Via San Michele, 14",40.409521237,9.632715883,2.0,+390784979074//+393806390589
Complesso Nuragico di Janna 'e Pruna e Fonte Sacra di Su Notante,area o parco archeologico,Irgoli,Monte 'E Senes,40.485488131,9.648200379,2.0,+390784979074//+393806390589
MARATE - Museo Per L'Arte del Rame e del Tessuto,"museo, galleria, raccolta",Isili,"Piazza San Giuseppe Calasanzio, 8",39.74206535,9.106801455,2.5,+390782802641//+393804553856
Nuraghe Is Paras,area o parco archeologico,Isili,"Via Grazia Deledda, s.n.c.",39.748621779,9.107473956,3.0,+390782802641//+393804553856//+393391121384//+393482231271
Museo Civico Archeologico Etnografico,"museo, galleria, raccolta",Ittireddu,"Via San Giacomo, 3",40.544071881,8.902356552,3.0,+39079767623
Museo Diocesano La Maddalena,"museo, galleria, raccolta",La Maddalena,"Via Baron Manno, s.n.c.",41.213344805,9.405483162,3.0,+393491534391
Parco Archeologico Seleni,area o parco archeologico,Lanusei,"Località Bosco Seleni, s.n.c.",39.877159107,9.520683172,4.0,+39078241051
Museo Muda,"museo, galleria, raccolta",Las Plassas,"Via Alessandro Manzoni, 4",39.681610465,8.985050062,5.0,+390709790410//+393475383803
Museo Naturalistico del Territorio Giovanni Pusceddu,"museo, galleria, raccolta",Lunamatrona,"Strada Comunale Mogoro-Lunamatrona, Località Spinarba",39.656782918,8.865562283,6.0,+390709300242//+390709341009
Collezione Forteleoni,"museo, galleria, raccolta",Luras,"Corso Carlo Alberto, 1",40.936605892,9.175382805,5.0,+39079647547
"Museo Etnografico Galluras, Il Museo della Femina Agabbadora","museo, galleria, raccolta",Luras,"Via Nazionale, 35",40.935480007,9.175296705,5.0,+393683376321
Area archeologica di Tamuli,area o parco archeologico,Macomer,Strada Comunale Monte,40.260543322,8.717727983,4.0,+393479481337//+390785743044//+39078570475
Museo Etnografico Le Arti Antiche,"museo, galleria, raccolta",Macomer,"Corso Umberto I, 225",40.267509337,8.776197603,4.0,+390785743044//+39078570475//+393479481337
Necropoli di Filigosa,area o parco archeologico,Macomer,SS 129bis,40.277643516,8.769827597,4.0,+390785743044//+39078570475//+393479481337
Nuraghe Santa Barbara,area o parco archeologico,Macomer,SS 131,40.275947973,8.782898061,4.0,+390785743044//+39078570475//+393479481337
Nuraghe Succoronis,area o parco archeologico,Macomer,SS 129 bis,40.284626573,8.749743055,4.0,+390785743044//+39078570475//+393479481337
Museo della Cultura e del Lavoro,"museo, galleria, raccolta",Mamoiada,"Via Sardegna, 17",40.213541102,9.283409602,4.0,+390784569018
Museo delle Maschere Mediterranee,"museo, galleria, raccolta",Mamoiada,"Piazza Europa, 15",40.210999793,9.283692808,5.0,+390784569018
Casa Museo Is Lollas de Is Aiaiusu,"museo, galleria, raccolta",Mandas,"Via S. Antonio, 15",39.653692322,9.126772797,2.0,+393491973677//+39070987801//+393489335805
Museo di Arte Sacra Peregrinatio Fidei,"museo, galleria, raccolta",Mandas,"Piazza Carlo Alberto, s.n.c.",39.651179325,9.12674654,2.0,+393493607889//+39070987801//+393489335805
Geomuseo Monte Arci Stefano Incani,"museo, galleria, raccolta",Masullas,"Piazza Convento, s.n.c.",39.701379103,8.78069972,4.0,+393891777100//+390783990251
Museo I Cavalieri delle Colline,"museo, galleria, raccolta",Masullas,"Piazza San Leonardo, s.n.c.",39.701737276,8.784314502,4.0,+393891777100//+390783991122
Area archeologica Nuraghe Nolza,area o parco archeologico,Meana Sardo,Località Nolza,39.917013888,9.073189374,3.0,+39078464183//+393311092120
Area archeologica Cuccurada,area o parco archeologico,Mogoro,SP 44,39.664461045,8.747882739,2.0,+393281156539
Ecomuseo Miniere Rosas,"museo, galleria, raccolta",Narcao,"Via Rosas, s.n.c.",39.202707295,8.719455756,8.0,+3907811855139//+393292773342
Museo dell'Immagine e del Design Interattivo,"museo, galleria, raccolta",Norbello,"Vico San Giovanni, 10",40.138607063,8.833959265,3.0,+390785519927//+393473846907
MAN Museo d'Arte Provincia di Nuoro,"museo, galleria, raccolta",Nuoro,"Via Sebastiano Satta, 27",40.321512772,9.333757112,5.0,+390784252110
Museo Deleddiano - Casa Natale di Grazia Deledda,"museo, galleria, raccolta",Nuoro,"Via Grazia Deledda, 42",40.323706239,9.336954694,3.0,+39078436101
Museo della Vita e delle Tradizioni Popolari Sarde,"museo, galleria, raccolta",Nuoro,"Via Antonio Mereu, 56",40.316755003,9.3356492,5.0,+390784257035//+390784242900
Grotta Corbeddu,monumento o complesso monumentale,Oliena,"SP 46, Valle di Lanaitto",40.255452891,9.486493815,5.0,+393478249517
Villaggio Nuragico Sa Sedda e Sos Carros,area o parco archeologico,Oliena,"SP 46, Valle di Lanaitto, località Carros",40.258229065,9.486172783,5.0,+393478249517
Casa Museo Carmelo Floris,"museo, galleria, raccolta",Olzai,"Via S. Anastasio, 30",40.18152812,9.149970445,2.5,+393664625022//+393486094727
Museo Nivola,"museo, galleria, raccolta",Orani,"Via Gonare, 2",40.247027694,9.180189916,5.0,+390784730063
Museo Archeologico Antiquarium Arborense,"museo, galleria, raccolta",Oristano,"Piazza Giovanni Corrias, s.n.c.",39.904440581,8.592629777,5.0,+390783791262
Pinacoteca Comunale Carlo Contini,"museo, galleria, raccolta",Oristano,"Via Sant'Antonio, s.n.c.",39.904176171,8.589191871,4.0,+390783791262//+390783791204
Area archeologica Su Nuraxi Arrubiu,area o parco archeologico,Orroli,"SP 10, località Su Pranu",39.662138402,9.297700986,4.0,+390782847269//+393297867983
Museo Omu Axiu,"museo, galleria, raccolta",Orroli,"Via Roma, 46",39.69218923,9.253340754,3.0,+390782845023
Sa domu de Su Nuraxi Arrubiu,"museo, galleria, raccolta",Orroli,"Via Roma, 119",39.693808068,9.252515452,5.0,+390782847269//+393297867983
Museo del Grano,"museo, galleria, raccolta",Ortacesus,"Via J.F. Kennedy, 25",39.539237929,9.083652694,2.0,+390709819027
Su Tempiesu,area o parco archeologico,Orune,Località Sa Costa e Sa Binza,40.41092889,9.412900728,3.0,+393287565148
Parco Archeologico e Naturalistico del Taccu di Osini,area o parco archeologico,Osini,Altopiano Del Taccu,39.826070182,9.486141549,3.0,+393297643343//+393204960927//+393287623515
Civico Museo Archeologico Alle Clarisse,"museo, galleria, raccolta",Ozieri,"Piazza P. Micca, s.n.c.",40.585950038,9.003232234,5.0,+390797851052//+390797851090//+39079787638
Grotta di San Michele,area o parco archeologico,Ozieri,"Via San Michele, s.n.c.",40.580887106,9.004165423,3.0,+39079787638
Museo Diocesano d'Arte Sacra,"museo, galleria, raccolta",Ozieri,"Via Umberto I, 37",40.584508747,9.002405129,3.0,+39079786093//+3934715460083//+39079787638
Pinacoteca Giuseppe Altana,"museo, galleria, raccolta",Ozieri,"Via Alcide De Gasperi, 2",40.588031068,9.002038787,3.0,+39079787638
Sant'Antioco di Bisarcio,monumento o complesso monumentale,Ozieri,SS 597,40.644717636,8.892771753,3.0,+39079787638//+390797851052
Museo Civico Archeologico,"museo, galleria, raccolta",Padria,"Via Nazionale, 3",40.397541888,8.630523572,1.0,+39079807018//+393402836246//+393479384533
Fortezza di Militare di Monte Altura,monumento o complesso monumentale,Palau,"SS 133, strada per Porto Rafael",41.185211074,9.363028891,5.0,+393203407436
Museo Etnografico,"museo, galleria, raccolta",Palau,"Via Nazionale, s.n.c.",41.178715705,9.380041979,2.5,+393470913032
CULTER - Museo del Coltello Internazionale,"museo, galleria, raccolta",Pattada,"Via Vittorio Emanuele, 64",40.581816619,9.110495841,4.0,+39079755918
Museo dell'Ossidiana,"museo, galleria, raccolta",Pau,"Via San Giorgio, 8",39.792753916,8.803149668,6.0,+390783934011
Museo della Donna,"museo, galleria, raccolta",Pauli Arbarei,"Via Roma, 12/ Via Mannu, 3",39.661770922,8.920809429,2.0,+39070939039
Complesso Nuragico Area di Santa Cristina,area o parco archeologico,Paulilatino,SS 131,40.061226346,8.731650517,7.0,+39078555438//+393477746747
Museo Archeologico Etnografico Palazzo Atzori,"museo, galleria, raccolta",Paulilatino,"Via Nazionale, 127-129",40.082909257,8.763268893,7.0,+39078555438//+393477746747
Museo Diocesano - Sacristia Santa Maria Degli Angeli,"museo, galleria, raccolta",Perfugas,"Piazza Domenico Alberto Azuni, s.n.c.",40.829042914,8.886449611,4.0,+390796393099//+393497777103//+393459388019
Quadreria Spano,"museo, galleria, raccolta",Ploaghe,"Piazza San Pietro, s.n.c.",40.66641212,8.749052846,2.5,+393493672110
Città Romana e Parco Archeologico di Turris Libisonis,area o parco archeologico,Porto Torres,"Via Ponte Romano, 99",40.837336592,8.396267448,4.0,+39079514433
Castello della Fava,monumento o complesso monumentale,Posada,"Via Eleonora d'Arborea, s.n.c.",40.637988567,9.723759427,2.5,+393474801421
Museo del Cavallo di Pozzomaggiore,"museo, galleria, raccolta",Pozzomaggiore,"Piazza Convento, 39",40.396742287,8.660599079,2.0,+393408070619//+393283831764//+39079801969
Museo Unico Regionale dell'Arte Tessile Sarda,"museo, galleria, raccolta",Samugheo,"Via Bologna, s.n.c.",39.955086653,8.946882901,2.5,+390783631052
Museo della Civiltà del Mare,"museo, galleria, raccolta",San Teodoro,"Via Niuloni, 1",40.779648608,9.674205849,2.0,+390784866180//+393477256278
Castello Giudicale Eleonora d'Arborea Museo del Risorgimento e Collezione di Ceroplastiche,"museo, galleria, raccolta",Sanluri,"Via Generale Nino Villa Santa, 1",39.563271179,8.897919344,6.0,+390709307184//+393939916135
Museo del Convento dei Cappuccini,"museo, galleria, raccolta",Sanluri,"Via San Rocco, 6",39.56592009,8.897787382,3.0,+390703293920
Area archeologica di Pani Loriga,area o parco archeologico,Santadi,Località Pani Loriga,39.090787061,8.689304705,5.0,+390781954203//+393488866797
Museo Civico Archeologico Santadi,"museo, galleria, raccolta",Santadi,"Via Umberto I, 17",39.093913366,8.717401801,5.0,+390781954203//+393488866797
Museo Etnografico Sa Domu Antiga,"museo, galleria, raccolta",Santadi,"Via Mazzini, 45",39.09283503,8.715480956,5.0,+393488866797
Forte Sabaudo Forte Su Pisu,monumento o complesso monumentale,Sant'Antioco,"Via Castello, s.n.c.",39.070659707,8.450871014,2.5,+390781800596//+393897962114
Museo Archeologico Ferruccio Barreca,"museo, galleria, raccolta",Sant'Antioco,"Via Sabatino Moscati, 1",39.075786259,8.45175417,6.0,+39078182105//+393897962114
Museo Etnografico Su Magasinu e Su Binu,"museo, galleria, raccolta",Sant'Antioco,"Via Necropoli, 24d",39.07108281,8.449827376,3.0,+393890505107//+390781800596//+393897962114
Necropoli De Is Pirixeddus,area o parco archeologico,Sant'Antioco,"Via Castello, s.n.c.",39.071735192,8.451583326,5.0,+39078182105//+393701592448//+39078180301//+390781800596//+393897962114
Museo della Tecnologia Contadina - Maestro Francesco Salis,"museo, galleria, raccolta",Santu Lussurgiu,"Via Deodato Meloni, 1",40.141712257,8.652152996,5.0,+393407706673//+393496868600
Area archeologica di Santa Anastasia,area o parco archeologico,Sardara,"Vico Eleonora D'Arborea, 10",39.616787422,8.820006709,5.0,+390709386183//+390709386011
Civico Museo Archeologico Villa Abbas,"museo, galleria, raccolta",Sardara,"Piazza della Libertà, 7",39.615917835,8.821982813,5.0,+390709386183//+390709386011
Museo della Città - Palazzo di Città,"museo, galleria, raccolta",Sassari,"Corso Vittorio Emanuele II, 35",40.728013263,8.559924444,4.0,+390792008072//+390792015122//+393314377156
Museo Diocesano di Sassari,"museo, galleria, raccolta",Sassari,"Piazza del Duomo, s.n.c.",40.72671167,8.558778392,2.0,+39079232067//+393472174128
Museo Domu De Janas La Rocca,"museo, galleria, raccolta",Sedini,"Via Nazionale, 35",40.848449262,8.818156545,8.0,+39079589215//+393498440436//+39079588581
Museo Sa Domu Nosta,"museo, galleria, raccolta",Senorbì,"Via Scaledda, 1",39.533760629,9.131838072,3.0,+390709809071
Area archeologica Santa Vittoria Serri,area o parco archeologico,Serri,Strada Comunale Santa Vittoria,39.712685069,9.105169859,5.0,+393460669068
Palazzina Liberty - Museo della civiltà contadina,"museo, galleria, raccolta",Seui,"Via Roma, 241",39.839742197,9.322788644,5.0,+390782539002
Museo delle Tradizioni Agroalimentari della Sardegna - Casa Steri,"museo, galleria, raccolta",Siddi,"Via Roma, 2",39.671648076,8.88878404,5.0,+393496304621
Museo Ornitologico della Sardegna,"museo, galleria, raccolta",Siddi,"Piazza Leonardo da Vinci, s.n.c.",39.671812206,8.888468968,2.0,+39070939888//+393475116787
Parco Naturalistico Archeologico Sa Fogaia,area o parco archeologico,Siddi,Giara di Siddi,39.662977791,8.878641843,2.0,+39070939888//+393475116787
Castello di Acquafredda,monumento o complesso monumentale,Siliqua,SS 293,39.261990735,8.820316702,6.0,+393491564023//+393497428014
Museo Civico Archeologico e Pinacoteca,"museo, galleria, raccolta",Sinnai,"Via P. Colletta, 20",39.302004158,9.202034006,2.0,+393406671868
Casa Museo  della Tecnologia Contadina Tiu Virgiliu,"museo, galleria, raccolta",Suni,"Via Regina Margherita, 7",40.279113278,8.548135445,5.0,+393288789521
Necropoli Chirisconis,area o parco archeologico,Suni,SS 292 bis,40.331145705,8.593086605,2.5,+393288789521
Nuraghe Nuraddeo,area o parco archeologico,Suni,SS 292 bis,40.324299183,8.57997115,2.5,+393288789521
Nuraghe Seneghe,area o parco archeologico,Suni,"Via Bosa, s.n.c.",40.279216862,8.539274442,2.5,+393288789521
Parco Archeologico,area o parco archeologico,Suni,"Vico B Bosa, 3",40.279400365,8.547827681,5.0,+393288789521
Museo Diocesano San Pietro Apostolo,"museo, galleria, raccolta",Tempio Pausania,"Via Villa Marina, 1",40.902965239,9.104283154,4.0,+390796393099//+393459388019
