Denominazione,Categoria,Comune,Indirizzo,Latitudine,Longitudine,Prezzo,Contatti
Area archeologica di Morgantina,area o parco archeologico,Aidone,"Aidone, Italia",nan,nan,6.0,093587955
"Museo archeologico ""Salvatore Lauricella""","museo, galleria, raccolta",Ravanusa,"corso della repubblica, Ravanusa, Italia",nan,nan,0.0,NON REGISTRATO
Valle dei Templi di Agrigento,area o parco archeologico,Agrigento,"via panoramica dei templi , Agrigento, Italia",nan,nan,10.0,NON REGISTRATO
Area archeologica di Akrai,area o parco archeologico,Palazzolo Acreide,"Palazzolo Acreide, Italia",nan,nan,4.0,0931876602
Santa Maria dei Greci,monumento o complesso monumentale,Agrigento,"via santa maria dei greci, Agrigento, Italia",nan,nan,0.0,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611
Museo regionale interdisciplinare di Enna,"museo, galleria, raccolta",Enna,"piazza mazzini, Enna, Italia",nan,nan,0.0,09355076304 - fax 09355076323
Area archeologica Halaesa Arconidea,area o parco archeologico,Tusa,"Tusa, Italia",nan,nan,0.0,NON REGISTRATO
Area archeologica Gibil Gabib,area o parco archeologico,Caltanissetta,"Caltanissetta, Italia",nan,nan,0.0,0934554964
Area archeologica Selinunte,area o parco archeologico,Castelvetrano,"via selinunte, Castelvetrano, Italia",nan,nan,6.0,092446277
Area archeologica e Antiquarium di Sabucina,area o parco archeologico,Caltanissetta,"Caltanissetta, Italia",nan,nan,0.0,0934554964
Area archeologica e Antiquarium di Solunto,area o parco archeologico,Santa Flavia,"via collegio romano, Santa Flavia, Italia",nan,nan,4.0,UFFICIO AMMINISTRATIVO 091905043 - AREA PARCO ARCHEOLOGICO 091909339
Museo archeologico regionale di Centuripe,"museo, galleria, raccolta",Centuripe,"via ss. crocifisso, Centuripe, Italia",nan,nan,0.0,093573079
Teatro Greco Romano di Taormina,area o parco archeologico,Taormina,"via del teatro greco, Taormina, Italia",nan,nan,10.0,Direzione 0942 628738 / Biglietteria Teatro 094223220 / Uffici Teatro 094224291
Castello medievale di Caccamo,area o parco archeologico,Caccamo,"via del castello, Caccamo, Italia",nan,nan,4.0,"Ufficio Turismo   Tel. 0918103207/221   turismo@comune.caccamo.pa.it

Biglietteria Castello   Tel. 091/8149252

castello@comune.caccamo.pa.it"
Convento della Magione,monumento o complesso monumentale,Palermo,"piazza magione, Palermo, Italia",nan,nan,0.0,0917071425  - 0917071411
Giardino di Villa Napoli e Piccola Cuba,monumento o complesso monumentale,Palermo,"via f. speciale, Palermo, Italia",nan,nan,0.0,3346001743 - 0917071425
Area archeologica monumentale di Castello a Mare,area o parco archeologico,Palermo,"via crispi, Palermo, Italia",nan,nan,2.0,0917071317/411
Museo archeologico regionale della Badia,"museo, galleria, raccolta",Licata,"Licata, Italia",nan,nan,0.0,0922 772602
Area archeologica di Palike',area o parco archeologico,Mineo,"Mineo, Italia",nan,nan,0.0,3315771468
Castello della Favara a Maredolce,"museo, galleria, raccolta",Palermo,"via giafar, Palermo, Italia",nan,nan,0.0,0917071425 - 3357957161
Castello della Cuba e Necropoli Punica,area o parco archeologico,Palermo,"corso calatafimi, Palermo, Italia",nan,nan,2.0,0917071425 - 091590299
Museo archeologico regionale di Marianopoli,"museo, galleria, raccolta",Marianopoli,"viale regione siciliana, Marianopoli, Italia",nan,nan,0.0,0934554964
Museo regionale Palazzo Mirto,"museo, galleria, raccolta",Palermo,"via merlo, Palermo, Italia",nan,nan,6.0,"tel e fax 0916164751  tel 0916167541
e-mail: polomuseale.pa.uo4@regione.sicilia.it
https://www.facebook.com/pages/CASA-MUSEO-Palazzo-MIRTO/265051623703706"
Oratorio dei Bianchi,"museo, galleria, raccolta",Palermo,"piazzetta dei bianchi, Palermo, Italia",nan,nan,8.0,"Telefono 0916173080 fax 0916165305 Mail:polomuseale.pa@regione.sicilia.it
Urp 0916230068"
Casina Cinese,monumento o complesso monumentale,Palermo,"via duca degli abruzzi, Palermo, Italia",nan,nan,0.0,091 7071317/411
Area archeologica e Antiquarium di Megara Hyblaea,area o parco archeologico,Augusta,"Augusta, Italia",nan,nan,4.0,09314508211
Area archeologica dell'Antica Cossyra,area o parco archeologico,Pantelleria,"Pantelleria, Italia",nan,nan,0.0,0923808111
Museo archeologico regionale Paolo Orsi di Siracusa,"museo, galleria, raccolta",Siracusa,"viale teocrito, Siracusa, Italia",nan,nan,8.0,"0931489511 fax 0931489532

APERTURA STRAORDINARIA lunedì 24 Aprile e 1 maggio ore 9-14"
Antiquarium di Milazzo,area o parco archeologico,Milazzo,"via impallomeni, Milazzo, Italia",nan,nan,0.0,0909223471
Area archeologica Agora',area o parco archeologico,Ragusa,"Ragusa, Italia",nan,nan,4.0,0932 826004
Area archeologica di Leontinoi,area o parco archeologico,Carlentini,"Carlentini, Italia",nan,nan,0.0,0957832962 (presso Museo)
Castello di Montalbano Elicona,monumento o complesso monumentale,Montalbano Elicona,"via castello, Montalbano Elicona, Italia",nan,nan,3.0,"09036746433, URP della Soprintendenza di Messina"
Castello della Zisa,area o parco archeologico,Palermo,"piazza zisa, Palermo, Italia",nan,nan,6.0,0916520269 - 0917071411
Anfiteatro Romano di Catania,area o parco archeologico,Catania,"piazza stesicoro, Catania, Italia",nan,nan,0.0,095/7150508 polomuseale.ct@regione.sicilia.it  poloregionalect.urp.@regione.sicilia.it
Grotta del Genovese - Levanzo,area o parco archeologico,Favignana,"Favignana, Italia",nan,nan,0.0,0923808111
Museo archeologico regionale Lilibeo Marsala - Baglio Anselmi,"museo, galleria, raccolta",Marsala,"lungomare boeo, Marsala, Italia",nan,nan,4.0,0923 952535 - per le visite su prenotazione rivolgersi al personale o telefonare allo 0923 952535
Area archeologica Cave di Cusa Vincenzo Tusa,area o parco archeologico,Campobello di Mazara,"Campobello di Mazara, Italia",nan,nan,2.0,092446277
Museo regionale interdisciplinare di Ragusa,"museo, galleria, raccolta",Ragusa,"via natalelli, Ragusa, Italia",nan,nan,0.0,0932622963 - fax 0932622963
Museo archeologico regionale di Lentini,"museo, galleria, raccolta",Lentini,"via museo, Lentini, Italia",nan,nan,0.0,0957832962
Museo regionale d'Arte moderna e contemporanea di Palermo,"museo, galleria, raccolta",Palermo,"corso vittorio emanuele, Palermo, Italia",nan,nan,6.0,091320532 fax 0916090166
Museo regionale Agostino Pepoli di Trapani - Museo interdisciplinare,"museo, galleria, raccolta",Trapani,"via conte pepoli, Trapani, Italia",nan,nan,6.0,0923553269 - fax 0923535444
Museo regionale della Ceramica di Caltagirone,"museo, galleria, raccolta",Caltagirone,"via roma, Caltagirone, Italia",nan,nan,4.0,093358418 - 093358423 fax 093326972
"Area archeologica della Neapolis, Orecchio di Dionisio e Teatro Greco",area o parco archeologico,Siracusa,"via del teatro greco, Siracusa, Italia",nan,nan,10.0,093166206
Area archeologica e Villa Romana del Tellaro,area o parco archeologico,Noto,"Noto, Italia",nan,nan,0.0,0931573883
Ipogeo Romano,area o parco archeologico,Catania,"via g. sanfilippo, Catania, Italia",nan,nan,0.0,095/7150508 polomuseale.ct@regione.sicilia.it - poloregionalect.urp@regione.sicilia.it
Area archeologica Segesta,area o parco archeologico,Calatafimi-Segesta,"Calatafimi-Segesta, Italia",nan,nan,6.0,0924952356
Museo regionale di Adrano,"museo, galleria, raccolta",Adrano,"piazza umberto i, Adrano, Italia",nan,nan,2.0,TEL. 0957691622 - 0957602608
Area archeologica Caucana,area o parco archeologico,Santa Croce Camerina,"via delle anticaglie, Santa Croce Camerina, Italia",nan,nan,0.0,NON REGISTRATO
Museo archeologico regionale di Agrigento,"museo, galleria, raccolta",Agrigento,"Agrigento, Italia",nan,nan,8.0,"0922401565 - fax 092220014
e-mail: polomuseale.ag@regione.sicilia.it"
Ex Stabilimento Florio di Favignana,monumento o complesso monumentale,Favignana,"Favignana, Italia",nan,nan,6.0,NON REGISTRATO
Galleria regionale di Palazzo Bellomo di Siracusa – Museo interdisciplinare,"museo, galleria, raccolta",Siracusa,"via capodieci, Siracusa, Italia",nan,nan,8.0,"093169511, fax 093169529"
Museo regionale interdisciplinare di Messina,"museo, galleria, raccolta",Messina,"viale della libertà, Messina, Italia",nan,nan,8.0,090361292/93
Zona Archeologica,area o parco archeologico,Naro,"Naro, Italia",nan,nan,0.0,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611
Area archeologica Vassallaggi,area o parco archeologico,San Cataldo,"San Cataldo, Italia",nan,nan,0.0,0934554964
Villa Romana di Patti,area o parco archeologico,Patti,"via giovanni xxiii, Patti, Italia",nan,nan,4.0,0941361593
Galleria regionale della Sicilia di Palazzo Abatellis di Palermo – Museo interdisciplinare,"museo, galleria, raccolta",Palermo,"via alloro, Palermo, Italia",nan,nan,8.0,"Telefono 0916230011, fax 0916165305, urp 0916230068, Biglietteria 0916230047
e-mail:polomuseale.pa@regione.sicilia.it
https://www.facebook.com/GalleriaRegionaledellaSiciliadiPalazzoAbatellis?fref=ts"
Teatro Romano e Odeon di Catania,area o parco archeologico,Catania,"via vittorio emanuele, Catania, Italia",nan,nan,6.0,095/7150508 fax 095/311004- polomuseale.ct@regione.sicilia.it  poloregionalect.urp.@regione.sicilia.it
Museo archeologico di Palazzo Cappellani,"museo, galleria, raccolta",Palazzolo Acreide,"via gaetano italia, Palazzolo Acreide, Italia",nan,nan,0.0,0931875575
Area archeologica Bagni Greci di Gela,area o parco archeologico,Gela,"via europa, Gela, Italia",nan,nan,0.0,0933 912626
Chiesa di San Francesco Borgia,monumento o complesso monumentale,Catania,"via crociferi, Catania, Italia",nan,nan,0.0,095310762
Area archeologica e Antiquarium di Himera,area o parco archeologico,Termini Imerese,"Termini Imerese, Italia",nan,nan,4.0,"Tel. 0918140128 e 0918140906, fax 0918140906 indirizzo email poloarcheologico.pa.uo5@regione.sicilia.it"
Area archeologica di Capo d'Orlando,area o parco archeologico,Capo d'Orlando,"Capo d'Orlando, Italia",nan,nan,0.0,0941955401
Area archeologica di Sant'Angelo Muxaro,area o parco archeologico,Sant'Angelo Muxaro,"Sant'Angelo Muxaro, Italia",nan,nan,0.0,0922 919806
"Zona Archeologica ""Vito Soldano""",area o parco archeologico,Canicattì,"Canicattì, Italia",nan,nan,0.0,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611
Area archeologica della Villa Romana del Casale a Piazza Armerina,area o parco archeologico,Piazza Armerina,"Piazza Armerina, Italia",nan,nan,10.0,0935680036
Museo archeologico regionale e Area archeologica di Naxos,"museo, galleria, raccolta",Giardini Naxos,"lungomare schisò giardini naxos, Giardini Naxos, Italia",nan,nan,4.0,Direzione 0942628738 Museo e area archeologica 094251001 - Fax 0942571813
Casa Museo Giovanni Verga,"museo, galleria, raccolta",Catania,"via sant'anna, Catania, Italia",nan,nan,4.0,0957150598
Castello Maniace,monumento o complesso monumentale,Siracusa,"Siracusa, Italia",nan,nan,2.0,0931464420
Area archeologica e Antiquarium Eraclea Minoa,area o parco archeologico,Cattolica Eraclea,"Cattolica Eraclea, Italia",nan,nan,4.0,0922 846005
Area archeologica Villa Bonanno,area o parco archeologico,Palermo,"piazza della vittoria, Palermo, Italia",nan,nan,0.0,0917071317/411
Area Archeologica dell’antica Apollonia,area o parco archeologico,San Fratello,"San Fratello, Italia",nan,nan,0.0,"09036746433, URP-Soprintendenza di Messina"
Area archeologica di Cava d'Ispica,area o parco archeologico,Modica,"Modica, Italia",nan,nan,4.0,0932771667
Museo regionale di Terrasini,"museo, galleria, raccolta",Terrasini,"lungomare peppino impastato, Terrasini, Italia",nan,nan,6.0,"Centralino 091.8810989 - Personale di custodia 091.8683327
e-mail: poloartemoderna.pa.ou3@regione.sicilia.it"
Area Archeologica. Grotta di San Teodoro,area o parco archeologico,Acquedolci,"Acquedolci, Italia",nan,nan,0.0,0941730005
Museo regionale interdisciplinare di Caltanissetta,"museo, galleria, raccolta",Caltanissetta,"Caltanissetta, Italia",nan,nan,4.0,0934567062 - fax 0934567086
Museo archeologico regionale di Gela,"museo, galleria, raccolta",Gela,"corso vittorio emanuele, Gela, Italia",nan,nan,4.0,0933912626
Zona archeologica di Tranchina,"museo, galleria, raccolta",Sciacca,"Sciacca, Italia",nan,nan,0.0,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611
Castello di Spadafora,monumento o complesso monumentale,Spadafora,"via nazionale, Spadafora, Italia",nan,nan,0.0,090 36894435 (URP)
Museo regionale di Aidone,"museo, galleria, raccolta",Aidone,"Aidone, Italia",nan,nan,6.0,093587307
Area archeologica Monte Jato,area o parco archeologico,San Cipirello,"San Cipirello, Italia",nan,nan,0.0,0918577943
Castello Grifeo,monumento o complesso monumentale,Partanna,"piazza b. graffeo, Partanna, Italia",nan,nan,4.0,0924 923970
Monastero Maria SS. della Valle - Badiazza,monumento o complesso monumentale,Messina,"Messina, Italia",nan,nan,0.0,NON REGISTRATO
Museo archeologico regionale Antonino Salinas di Palermo,"museo, galleria, raccolta",Palermo,"via bara all'olivella, Palermo, Italia",nan,nan,0.0,0916116807 - 0916116806 - FAX 0916110740
Area archeologica di Monte Adranone,area o parco archeologico,Sambuca di Sicilia,"Sambuca di Sicilia, Italia",nan,nan,6.0,0925 946083
Complesso Minerario di Trabia Tallarita,monumento o complesso monumentale,Riesi,"Riesi, Italia",nan,nan,4.0,0934554964
Area archeologica Santa Venera al Pozzo,area o parco archeologico,Aci Catena,"via alimena, Aci Catena, Italia",nan,nan,0.0,0957150508 (Uffici del Polo Museale)
Convento della Croce,monumento o complesso monumentale,Scicli,"Scicli, Italia",nan,nan,2.0,0932249440/456 info:polomuseale.rg@regione.sicilia.it
Museo naturalistico regionale di Isolabella e Villa Caronia,area o parco archeologico,Taormina,"via nazionale, Taormina, Italia",nan,nan,4.0,Tel: 0942628738 Fax 0942628738
Abbazia e Monastero dei SS. Pietro e Paolo d’Agrò,monumento o complesso monumentale,Casalvecchio Siculo,"Casalvecchio Siculo, Italia",nan,nan,0.0,"09036746433, URP della Soprintendenza di Messina"
